,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNZIP1,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy,PurchYear
2698,2008,2,DODGE,CALIBER,SE,4D WAGON,BLACK,AUTO,Covers,45892,AMERICAN,MEDIUM,CHRYSLER,7537,8143,10763,11393,7661,8350,11321,11966,74135,7300,0,693,1,2010
2699,2008,2,DODGE,CALIBER,SE,4D WAGON,BLACK,AUTO,Covers,48236,AMERICAN,MEDIUM,CHRYSLER,7565,8154,11274,11702,7860,8721,11874,12643,74135,7000,0,693,0,2010
2700,2008,2,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,Alloy,50097,AMERICAN,MEDIUM,CHRYSLER,6818,7425,10169,10714,6770,7436,10467,11059,74135,6100,0,1086,1,2010
2701,2006,4,CHEVROLET,COBALT,LS,2D COUPE,BLUE,AUTO,Alloy,61933,AMERICAN,COMPACT,GM,5338,6578,8518,10124,5311,6706,9198,11614,32824,6800,0,728,0,2010
2702,2008,2,CHEVROLET,HHR,LS,4D SUV 2.2L LS,BLACK,AUTO,Alloy,86122,AMERICAN,MEDIUM,GM,8067,9066,11496,12798,6494,7880,9742,11463,32824,7100,0,853,0,2010
2703,2004,6,SATURN,ION,2,4D SEDAN LEVEL 2,BEIGE,AUTO,Alloy,57400,AMERICAN,MEDIUM,GM,3668,4620,6405,7344,4206,5252,7070,8021,32824,4600,0,671,1,2010
2704,2006,4,CHRYSLER,PT CRUISER,Bas,4D SEDAN,BLUE,AUTO,Covers,42051,AMERICAN,MEDIUM,CHRYSLER,5620,6742,8739,9873,5193,6147,8601,9700,32824,6550,0,975,0,2010
2705,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,Covers,61646,AMERICAN,MEDIUM,CHRYSLER,6312,7312,9453,10617,6019,6944,9581,10346,32824,6550,0,1215,0,2010
2706,2006,4,HYUNDAI,SONATA V6,GLS,4D SEDAN GLS,BLACK,AUTO,Alloy,78461,OTHER ASIAN,MEDIUM,OTHER,7103,8307,10484,11517,6524,7824,10249,11505,32824,8050,0,803,0,2010
2707,2004,6,SUZUKI,AERIO,S,4D SEDAN LX,BLUE,AUTO,Alloy,85397,OTHER ASIAN,COMPACT,OTHER,2732,3811,5663,6436,3064,4365,5829,6701,32824,4850,0,983,0,2010
2708,2007,3,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.5L,GREY,AUTO,Alloy,57990,AMERICAN,LARGE,GM,8320,9758,11326,13081,8004,9435,11260,12887,32824,8450,0,1500,0,2010
2709,2005,5,CHRYSLER,PACIFICA AWD,Tou,4D SPORT TOURING,WHITE,AUTO,Alloy,72674,AMERICAN,CROSSOVER,CHRYSLER,8752,10020,12184,13676,8782,10872,12031,14144,32824,9450,0,1857,0,2010
2710,2002,8,CHEVROLET,TRAILBLAZER EXT 4WD,LT,4D SUV 4.2L LT,GREEN,AUTO,Alloy,79191,AMERICAN,MEDIUM SUV,GM,6593,7807,9741,10895,6419,7697,9070,10396,32824,8350,0,2274,0,2010
2711,2001,9,FORD,F150 PICKUP 2WD V8,Lar,EXT CAB 5.4L LARIAT,GOLD,AUTO,Alloy,97124,AMERICAN,LARGE TRUCK,FORD,4876,6801,7718,10275,6383,7801,9767,11583,32824,6450,0,1209,0,2010
2712,2003,7,FORD,RANGER PICKUP 2WD 4C,XL,REG CAB 2.3L EDGE,GOLD,MANUAL,Covers,82949,AMERICAN,SMALL TRUCK,FORD,3219,4359,6709,8180,2169,2827,5431,6152,32824,4050,0,894,0,2010
2713,2008,2,DODGE,CALIBER,SE,4D WAGON,RED,AUTO,Covers,49533,AMERICAN,MEDIUM,CHRYSLER,7782,8230,11085,11534,7497,8102,10721,11350,32824,7450,0,693,0,2010
2714,2004,6,BUICK,RENDEZVOUS FWD,CXL,4D SUV CX,GOLD,AUTO,Covers,78063,AMERICAN,MEDIUM SUV,GM,5112,6576,8773,10214,4414,6048,8252,9953,32824,7450,0,3667,0,2010
2715,2007,3,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L,GOLD,AUTO,Alloy,79944,AMERICAN,LARGE,GM,8700,10182,11878,13506,8479,9840,12005,13675,32824,8380,0,1974,0,2010
2716,2004,6,SATURN,ION,3,4D SEDAN LEVEL 3,BLUE,AUTO,Alloy,86332,AMERICAN,MEDIUM,GM,5105,6091,7887,8783,4486,5067,7211,7640,32824,4150,0,853,1,2010
2717,2001,9,MITSUBISHI,ECLIPSE,Spy,2D SPYDER GT,WHITE,AUTO,Covers,77277,OTHER ASIAN,SPORTS,OTHER,4550,5576,7000,8215,3435,4233,6465,7300,32824,6750,0,1338,0,2010
2718,2005,5,MERCURY,MARINER 2WD 4C,Bas,4D SUV 2.3L,RED,AUTO,Alloy,82422,AMERICAN,SMALL SUV,FORD,7034,8115,10800,11899,6042,7897,9758,11492,32824,8650,0,983,0,2010
2719,2003,7,FORD,EXPLORER 2WD V6,XLS,4D SUV 4.0L SPORT TRAC,WHITE,AUTO,Alloy,72627,AMERICAN,MEDIUM SUV,FORD,6725,7813,9885,10956,6425,7529,10248,11374,32824,8250,0,1455,1,2010
2720,2006,4,PONTIAC,VIBE,Bas,4D WAGON,WHITE,AUTO,Covers,75426,AMERICAN,MEDIUM,GM,6453,7831,9596,11536,5857,7257,8868,10543,32824,8030,1,569,0,2010
2721,2005,5,PONTIAC,GRAND PRIX,Bas,4D SEDAN,WHITE,AUTO,Alloy,88818,AMERICAN,LARGE,GM,5096,6391,8418,9654,5336,6765,8416,9859,32824,6650,0,2152,0,2010
2722,2003,7,CHEVROLET,IMPALA,Bas,4D SEDAN,GOLD,AUTO,Covers,81215,AMERICAN,LARGE,GM,3548,4706,6666,8841,3168,4200,6246,7103,32824,5350,0,2452,1,2010
2723,2006,4,FORD,TAURUS,SE,4D SEDAN SE,RED,AUTO,Covers,64562,AMERICAN,MEDIUM,FORD,4739,6050,8047,9577,4085,5495,7637,9133,32824,5650,0,825,0,2010
2724,2002,8,FORD,TAURUS,SES,4D SEDAN SES DURATEC,WHITE,AUTO,Alloy,80998,AMERICAN,MEDIUM,FORD,2564,3759,5310,7785,2351,3286,5211,6550,32824,5250,0,1283,0,2010
2725,2003,7,NISSAN,ALTIMA,Bas,4D SEDAN S,GREEN,AUTO,Alloy,78989,TOP LINE ASIAN,MEDIUM,OTHER,4572,5543,7905,8987,4308,5465,7567,8845,32824,8250,0,986,0,2010
2726,2006,4,CHEVROLET,HHR,LS,4D SUV 2.2L LS,BLACK,AUTO,Covers,51182,AMERICAN,MEDIUM,GM,5579,6784,9598,11083,5505,6770,9279,10694,32824,7550,0,671,0,2010
2727,2008,2,CHEVROLET,HHR,LS,4D SUV 2.2L LS,BLACK,AUTO,Covers,66537,AMERICAN,MEDIUM,GM,7097,8527,11241,12773,7942,9147,11350,12521,32824,7550,0,728,0,2010
2728,2006,4,JEEP,GRAND CHEROKEE 4WD V,Lar,4D WAGON LAREDO,WHITE,AUTO,Alloy,81603,AMERICAN,MEDIUM SUV,CHRYSLER,11750,13622,15959,17828,11365,13327,15457,17658,32824,9750,0,2022,0,2010
2729,2005,5,MERCURY,MARINER 2WD V6,Bas,4D SUV 3.0L,WHITE,AUTO,Alloy,81178,AMERICAN,SMALL SUV,FORD,6589,8040,10303,11838,6761,7826,10369,11606,32824,7650,0,983,1,2010
2730,2007,3,NISSAN,ALTIMA,Bas,4D SEDAN,GREY,MANUAL,Covers,60494,TOP LINE ASIAN,MEDIUM,OTHER,11098,12585,15232,17273,11371,13039,16021,18371,32824,9850,0,630,0,2010
2731,2005,5,CHRYSLER,TOWN & COUNTRY FWD V,Bas,MINIVAN 3.3L,BLUE,AUTO,Covers,85203,AMERICAN,VAN,CHRYSLER,5335,6689,8622,10790,4530,5853,7627,9338,32824,6450,0,1763,0,2010
2732,2007,3,KIA,OPTIMA V6,EX,4D SEDAN EX,SILVER,AUTO,Alloy,62926,OTHER ASIAN,MEDIUM,OTHER,9005,10367,12352,13238,8953,10684,11862,13338,32824,8050,0,728,0,2010
2733,2001,9,CHEVROLET,MALIBU V6,Bas,4D SEDAN,SILVER,AUTO,Covers,57095,AMERICAN,MEDIUM,GM,1807,2674,4298,5490,1494,2088,4202,5009,32824,4650,0,1966,0,2010
2734,2006,4,VOLKSWAGEN,JETTA 5C,Bas,4D SEDAN,GREY,AUTO,Alloy,57374,OTHER,SPECIALTY,OTHER,8565,9883,12618,14424,8708,10084,12912,14575,32824,9100,1,1003,0,2010
2735,2003,7,SATURN,L SERIES,L30,4D SEDAN L300,GREY,AUTO,Alloy,87437,AMERICAN,MEDIUM,GM,3746,4813,6831,7886,3746,4813,6831,7886,32824,4650,0,2712,1,2010
2736,2007,3,CHEVROLET,MALIBU V6,LT,4D SEDAN LT,BLACK,AUTO,Alloy,97017,AMERICAN,MEDIUM,GM,7751,9266,11288,13052,7096,8549,10810,12317,32824,5950,0,1485,1,2010
2737,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,GREY,AUTO,Covers,61861,AMERICAN,MEDIUM,CHRYSLER,5947,6954,9429,10208,5501,6545,9242,10028,32824,5450,0,1215,0,2010
2738,2003,7,SATURN,L SERIES,L20,4D SEDAN L200,GOLD,AUTO,Covers,79623,AMERICAN,MEDIUM,GM,3244,4296,6476,7310,2947,4045,5752,6942,32824,4750,0,1806,0,2010
2739,2005,5,FORD,FOCUS,ZX4,4D SEDAN ZX4,BLACK,AUTO,Covers,70261,AMERICAN,COMPACT,FORD,3694,4797,7196,8416,3811,4861,7254,8280,32824,5050,0,1155,0,2010
2740,2006,4,FORD,FOCUS,ZX4,4D SEDAN ZX4,GOLD,AUTO,Covers,85654,AMERICAN,COMPACT,FORD,4784,5970,8524,9609,4505,6132,7994,9551,32824,5650,0,1243,0,2010
2741,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,BLUE,AUTO,Covers,67695,AMERICAN,MEDIUM,CHRYSLER,7353,8454,11670,12434,7540,8617,11353,12403,32824,6980,0,1020,0,2010
2742,2007,3,DODGE,CALIBER,SXT,4D WAGON SXT,WHITE,AUTO,Covers,70703,AMERICAN,MEDIUM,CHRYSLER,6904,8238,10996,11969,7193,8378,10874,12108,32824,6950,0,920,0,2010
2743,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,SILVER,AUTO,Covers,89880,AMERICAN,LARGE,GM,7798,8657,11653,12599,8338,9690,12301,13721,32824,7450,0,2152,0,2010
2744,2006,4,JEEP,COMMANDER 4WD V6,Bas,4D WAGON,WHITE,AUTO,Alloy,81721,AMERICAN,LARGE SUV,CHRYSLER,12614,14529,16428,18284,12080,14184,16435,18172,32824,10450,0,2022,1,2010
2745,2006,4,KIA,SPECTRA,EX,4D SEDAN,GREY,AUTO,Covers,47096,OTHER ASIAN,MEDIUM,OTHER,4483,5487,7424,8782,4257,5911,7483,8809,32824,5250,0,482,0,2010
2746,2008,2,CHRYSLER,SEBRING 4C,LX,4D SEDAN LX,GOLD,AUTO,Covers,63986,AMERICAN,MEDIUM,CHRYSLER,7759,8552,11763,12459,7866,8580,11751,12494,32824,7550,0,1020,0,2010
2747,2007,3,FORD,FUSION 4C,SE,4D SEDAN SE,PURPLE,AUTO,Alloy,71092,AMERICAN,MEDIUM,FORD,10307,11693,13937,15225,10442,12001,13894,15129,32824,8150,0,803,0,2010
2748,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,BLUE,AUTO,Covers,82170,AMERICAN,MEDIUM,CHRYSLER,8026,9280,11892,13077,7337,8654,11402,12351,32824,7380,0,1243,0,2010
2749,2007,3,TOYOTA,COROLLA,CE,4D SEDAN CE,WHITE,AUTO,Covers,67030,TOP LINE ASIAN,COMPACT,OTHER,7672,8796,10857,12723,7001,8130,11123,11934,32824,7150,0,533,0,2010
2750,2006,4,CHRYSLER,PACIFICA FWD,Bas,4D SPORT,RED,AUTO,Alloy,75491,AMERICAN,CROSSOVER,CHRYSLER,6742,8670,10580,12164,7198,8704,11331,12405,32824,8750,0,1389,0,2010
2751,2001,9,NISSAN,FRONTIER PICKUP 2WD,SE,CREW CAB 3.3L,SILVER,AUTO,Alloy,95457,TOP LINE ASIAN,SMALL TRUCK,OTHER,5619,7183,8444,9614,5495,7250,8269,9684,32824,8450,0,920,1,2010
2752,2006,4,CHRYSLER,PT CRUISER,Tou,4D SEDAN TOURING,BLUE,AUTO,Covers,68813,AMERICAN,MEDIUM,CHRYSLER,5089,6113,8831,9885,4302,5417,8168,9046,32824,5450,0,1215,0,2010
2753,2002,8,FORD,FOCUS,SE,4D SEDAN SE,SILVER,AUTO,Alloy,89865,AMERICAN,COMPACT,FORD,2041,2913,4868,5575,2105,2931,4631,5391,32824,4350,0,1543,0,2010
2754,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,SILVER,AUTO,Covers,79820,AMERICAN,LARGE,GM,7991,9064,11519,12735,7549,8731,10796,12269,32824,7880,0,1974,0,2010
2755,2003,7,BUICK,CENTURY V6,Cus,4D SEDAN CUSTOM,GREY,AUTO,Covers,53475,AMERICAN,MEDIUM,GM,2838,4204,6057,7380,2678,4041,5659,7186,32824,5150,0,1800,0,2010
2756,2003,7,DODGE,CARAVAN FWD V6,SE,MINIVAN 3.3L FFV SE,SILVER,AUTO,Covers,68089,AMERICAN,VAN,CHRYSLER,4677,6000,7797,9060,4011,5265,7199,8516,32824,4550,0,1711,0,2010
2757,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,BLACK,AUTO,Alloy,70875,AMERICAN,MEDIUM,CHRYSLER,7952,9213,11348,12808,7554,8662,11318,12377,32824,8450,0,1155,0,2010
2758,2008,2,CHRYSLER,SEBRING V6,Tou,2D CONVERTIBLE,BLACK,AUTO,Alloy,80177,AMERICAN,MEDIUM,CHRYSLER,11952,13882,15287,17300,11284,12927,15220,17140,32824,8150,0,1373,0,2010
2759,2004,6,JEEP,LIBERTY 2WD V6,Lim,4D SUV LIMITED,WHITE,AUTO,Alloy,80802,AMERICAN,SMALL SUV,CHRYSLER,6594,7897,9838,10801,6208,7749,9048,10800,32824,7550,0,723,0,2010
2760,2006,4,NISSAN,SENTRA,Bas,4D SEDAN 1.8,BLUE,AUTO,Alloy,72708,TOP LINE ASIAN,COMPACT,OTHER,5236,6662,8846,10174,5360,6634,8321,9591,32824,6250,0,569,0,2010
2761,2006,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,GREEN,AUTO,Covers,66156,AMERICAN,MEDIUM,CHRYSLER,6477,7422,9862,10903,6867,7644,10044,10793,32824,6050,0,1215,0,2010
2762,2004,6,CHRYSLER,PT CRUISER,Bas,4D SEDAN,WHITE,AUTO,Alloy,39190,AMERICAN,MEDIUM,CHRYSLER,3611,4648,6624,7721,3069,4142,6416,7448,32824,6150,0,882,0,2010
2763,2004,6,FORD,FREESTAR FWD V6,S,PASSENGER 3.9L,GREY,AUTO,Covers,76336,AMERICAN,VAN,FORD,3789,5443,6760,8674,3493,4564,7198,8045,32824,6550,0,1506,0,2010
2764,2006,4,DODGE,CARAVAN FWD V6,SXT,MINIVAN 3.3L SPORT,SILVER,AUTO,Covers,72089,AMERICAN,VAN,CHRYSLER,5893,7704,9847,11812,6219,8014,11044,14232,32824,5650,0,1623,0,2010
2765,2006,4,KIA,OPTIMA V6,LX,4D SEDAN LX,WHITE,AUTO,Alloy,60044,OTHER ASIAN,MEDIUM,OTHER,5883,7184,9216,10449,5725,7125,9094,10627,32824,7350,0,728,1,2010
2766,2006,4,JEEP,GRAND CHEROKEE 2WD V,Lim,4D WAGON LIMITED,GOLD,AUTO,Alloy,82457,AMERICAN,MEDIUM SUV,CHRYSLER,12564,14464,16803,18379,11383,13292,15742,17687,32824,10150,0,2022,0,2010
2767,2006,4,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L,GREY,AUTO,Alloy,80503,AMERICAN,MEDIUM SUV,GM,9870,12592,14341,16687,9096,11068,13397,15286,32824,8450,0,2152,0,2010
2768,2007,3,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,AUTO,Covers,81026,AMERICAN,MEDIUM,GM,6364,7974,10225,11686,6237,7314,9805,10903,32824,6150,0,853,0,2010
2769,2006,4,CHEVROLET,IMPALA,LS,4D SEDAN LS,WHITE,AUTO,Covers,51135,AMERICAN,LARGE,GM,6186,7627,9551,11165,6256,7590,9537,11009,32824,7900,0,1500,0,2010
2770,2001,9,MERCURY,GRAND MARQUIS,LS,4D SEDAN LS,GREY,AUTO,Alloy,72312,AMERICAN,LARGE,FORD,3062,4270,6133,7237,3747,5035,6259,7658,32824,5850,0,869,0,2010
2771,2008,2,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,AUTO,Covers,60244,OTHER ASIAN,MEDIUM,OTHER,6643,7284,10109,10678,6498,7456,9731,10521,32824,5570,0,533,0,2010
2772,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,SILVER,AUTO,Covers,73046,AMERICAN,MEDIUM,CHRYSLER,7307,8636,11282,12319,7497,8682,11605,12549,32824,7950,0,1155,1,2010
2773,2005,5,CHRYSLER,PT CRUISER,Tou,4D SEDAN,GOLD,AUTO,Alloy,94797,AMERICAN,MEDIUM,CHRYSLER,3857,5021,7265,8528,3548,4378,7203,8078,32824,5050,0,1630,0,2010
2774,2006,4,FORD,FREESTAR FWD V6,SE,PASSENGER 3.9L LX,SILVER,AUTO,Covers,62838,AMERICAN,VAN,FORD,7164,8635,11502,13864,4945,6704,8621,10572,32824,6550,0,1313,0,2010
2775,2004,6,FORD,EXPEDITION 2WD V8,Edd,4D SUV 5.4L EDDIE BAUER,GREEN,AUTO,Alloy,88555,AMERICAN,LARGE SUV,FORD,8699,10431,12807,14404,8832,10443,12092,13759,32824,10150,0,1113,0,2010
2776,2004,6,TOYOTA,COROLLA,CE,4D SEDAN CE,SILVER,AUTO,Covers,83521,TOP LINE ASIAN,COMPACT,OTHER,4659,5550,7629,8934,4971,5848,7542,9068,32824,6250,0,594,0,2010
2777,2006,4,CHRYSLER,TOWN & COUNTRY 2WD V,LX,MINIVAN 3.3L,BLUE,AUTO,Covers,90222,AMERICAN,VAN,CHRYSLER,5585,7004,8712,10753,5462,6839,9526,10741,32824,5550,0,1918,0,2010
2778,2005,5,MAZDA,MAZDA6,s,4D WAGON S,BLUE,AUTO,Alloy,55568,OTHER ASIAN,MEDIUM,OTHER,5960,7822,9764,11468,6380,8801,9852,12768,32824,7550,0,1169,1,2010
2779,2007,3,CHRYSLER,PT CRUISER,Tou,4D SEDAN,BLUE,AUTO,Alloy,55161,AMERICAN,MEDIUM,CHRYSLER,5406,6594,8958,10121,5522,6722,8901,10083,32824,5550,0,1086,0,2010
2780,2004,6,CHEVROLET,TRAILBLAZER EXT 2WD,LT,4D SUV 4.2L LS,WHITE,AUTO,Alloy,67473,AMERICAN,MEDIUM SUV,GM,6358,7878,9915,11283,5515,6870,9165,10482,32824,7650,0,1020,0,2010
2781,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,ORANGE,AUTO,Covers,50399,AMERICAN,MEDIUM,CHRYSLER,7530,8748,11290,12631,7779,8824,11425,12445,32824,7750,0,920,0,2010
2782,2007,3,CHEVROLET,COBALT,LS,4D SEDAN LS,BLUE,AUTO,Covers,75378,AMERICAN,COMPACT,GM,5247,6371,8506,9886,4872,5828,8228,9300,32824,5650,0,803,0,2010
2783,2007,3,CHRYSLER,TOWN & COUNTRY 2WD V,LX,EXT MINIVAN 3.3L LX,GREEN,AUTO,Covers,85086,AMERICAN,VAN,CHRYSLER,5965,6692,9726,10677,5829,6481,9577,10389,32824,6680,0,1763,1,2010
2784,2007,3,SUZUKI,FORENZA,Bas,4D SEDAN,SILVER,AUTO,Covers,47341,OTHER ASIAN,MEDIUM,OTHER,4541,5459,8217,9879,3949,4845,7433,8487,32824,5950,0,482,0,2010
2785,2006,4,CHEVROLET,IMPALA,LS,4D SEDAN LS,SILVER,AUTO,Covers,95396,AMERICAN,LARGE,GM,6262,7543,9929,11185,6616,7912,9379,11088,32824,7250,0,2351,0,2010
2786,2005,5,KIA,SPECTRA,EX,4D SEDAN EX,GREY,AUTO,Covers,81738,OTHER ASIAN,MEDIUM,OTHER,3668,4368,6949,8031,3816,4839,6790,7831,32824,5150,0,594,0,2010
2787,2007,3,SATURN,AURA,XE,4D SEDAN XE,GOLD,AUTO,Alloy,82985,AMERICAN,MEDIUM,GM,8273,9707,11977,13342,8421,9878,11872,13527,32824,7490,0,1373,0,2010
2788,2005,5,CHRYSLER,PT CRUISER,Tou,4D SEDAN,GOLD,AUTO,Covers,38605,AMERICAN,MEDIUM,CHRYSLER,3914,5002,7246,8356,3798,4806,6979,8177,32824,6050,0,882,0,2010
2789,2006,4,TOYOTA,CAMRY 4C,Bas,4D SEDAN,SILVER,AUTO,Covers,64337,TOP LINE ASIAN,MEDIUM,OTHER,7657,8684,10975,13008,7946,8810,10925,12486,32824,8990,0,533,0,2010
2790,2006,4,CHEVROLET,COBALT,LS,4D SEDAN LS,BLUE,MANUAL,Covers,61772,AMERICAN,COMPACT,GM,4539,5580,7244,8452,4587,5641,7403,8724,32824,5650,0,728,0,2010
2791,2002,8,MERCURY,SABLE,LS,4D SEDAN LS PREMIUM,WHITE,AUTO,Alloy,83540,AMERICAN,MEDIUM,FORD,2717,3938,5492,6840,2902,4119,6267,8895,32824,4450,0,1283,0,2010
2792,2006,4,HYUNDAI,SONATA 4C,GL,4D SEDAN GLS,BLUE,AUTO,Covers,54506,OTHER ASIAN,MEDIUM,OTHER,6065,6971,8905,10335,6595,7397,9804,11135,32824,8250,0,671,0,2010
2793,2007,3,CHRYSLER,PT CRUISER,Tou,4D SEDAN,SILVER,AUTO,Covers,62624,AMERICAN,MEDIUM,CHRYSLER,5451,6608,8831,9970,5015,6171,8854,9977,32824,5250,0,1215,0,2010
2794,2004,6,TOYOTA,COROLLA,CE,4D SEDAN CE,BLUE,AUTO,Covers,76154,TOP LINE ASIAN,COMPACT,OTHER,4548,5315,7137,8304,4722,5480,7965,9103,32824,5950,0,569,1,2010
2795,2003,7,SATURN,ION,1,4D SEDAN LEVEL 1,BLACK,AUTO,Covers,85791,AMERICAN,MEDIUM,GM,2920,3726,5778,6564,2702,3992,5082,6511,32824,4550,0,1153,0,2010
2796,2001,9,MAZDA,TRIBUTE 4WD V6,LX,4D SPORT UTILITY ES,WHITE,AUTO,Alloy,73817,OTHER ASIAN,SMALL SUV,OTHER,3379,4261,6579,7246,4207,5351,7155,8382,32824,5750,0,1689,1,2010
2797,2008,2,DODGE,CALIBER,SE,4D WAGON,BLACK,AUTO,Covers,58492,AMERICAN,MEDIUM,CHRYSLER,7394,8514,10991,12137,7478,8748,11071,12313,32824,6850,0,754,0,2010
2798,2003,7,TOYOTA,CAMRY 4C,LE,4D SEDAN LE,SILVER,AUTO,Covers,73563,TOP LINE ASIAN,MEDIUM,OTHER,5160,5987,7828,9277,5814,6614,8198,10156,32824,7650,0,869,0,2010
2799,2006,4,CHEVROLET,AVEO,LS,4D SEDAN LS,ORANGE,AUTO,Alloy,45341,AMERICAN,COMPACT,GM,3676,4458,6374,7229,4575,5649,7446,8592,32824,4650,0,623,0,2010
2800,2005,5,FORD,TAURUS,SE,4D SEDAN SE FFV,RED,AUTO,Alloy,69555,AMERICAN,MEDIUM,FORD,4232,5655,7097,8358,3771,5077,7206,8414,32824,5750,0,825,0,2010
2801,2004,6,MERCURY,MOUNTAINEER 2WD V8,Bas,4D SUV 4.6L,BLACK,AUTO,Alloy,66454,AMERICAN,MEDIUM SUV,FORD,6497,8098,10318,12127,6117,7071,10191,11056,32824,8250,0,1508,0,2010
2802,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,WHITE,AUTO,Covers,55448,AMERICAN,LARGE,GM,7569,8763,10821,12308,7078,8282,10791,12229,32824,8380,0,1500,0,2010
2803,2008,2,DODGE,AVENGER V6,SE,4D SEDAN,BLACK,AUTO,Covers,51098,AMERICAN,MEDIUM,CHRYSLER,8188,9046,12500,13315,7583,8885,11873,12966,32824,9180,0,1003,0,2010
2804,2004,6,CHEVROLET,COLORADO PICKUP 2WD,LS,REG CAB 2.8L,WHITE,AUTO,Covers,90849,AMERICAN,SMALL TRUCK,GM,3500,4889,6336,8093,3656,5469,6514,8855,32824,4450,0,765,1,2010
2805,2007,3,PONTIAC,GRAND PRIX,Bas,4D SEDAN,RED,AUTO,Alloy,81727,AMERICAN,LARGE,GM,7165,8682,11098,13448,6953,8300,10556,12123,32824,7150,0,2152,0,2010
2806,2004,6,FORD,FOCUS,ZX3,2D COUPE ZX3,BLACK,AUTO,Alloy,106897,AMERICAN,COMPACT,FORD,3229,3983,6440,7243,2938,3988,5996,7211,32824,2820,0,1450,0,2010
2807,2002,8,FORD,TAURUS,SEL,4D SEDAN SE COMFORT,GREY,AUTO,Alloy,67456,AMERICAN,MEDIUM,FORD,2534,3698,5356,6644,2411,3458,5062,6226,32824,4450,0,1125,1,2010
2808,2006,4,HYUNDAI,SONATA V6,GLS,4D SEDAN GLS,MAROON,AUTO,Alloy,61940,OTHER ASIAN,MEDIUM,OTHER,6021,7183,9538,10994,6638,7971,9962,11735,32824,7550,0,728,0,2010
2809,2009,1,CHRYSLER,SEBRING 4C,LX,4D SEDAN,BEIGE,AUTO,Covers,43044,AMERICAN,MEDIUM,CHRYSLER,9274,9900,13280,13930,8915,9331,13085,13504,74135,8900,0,834,0,2010
2810,2009,1,CHRYSLER,SEBRING 4C,LX,4D SEDAN,WHITE,AUTO,Covers,46499,AMERICAN,MEDIUM,CHRYSLER,9274,9900,13280,13930,8634,9055,12561,13152,74135,8900,0,834,0,2010
2811,2009,1,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,Covers,34093,AMERICAN,MEDIUM,CHRYSLER,7127,7515,10855,11224,8238,8583,10895,11351,74135,7200,0,882,0,2010
2812,2009,1,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,Covers,42244,AMERICAN,MEDIUM,CHRYSLER,7127,7515,10855,11224,8238,8583,10895,11351,74135,6800,0,975,0,2010
2813,2009,1,CHRYSLER,SEBRING 4C,LX,4D SEDAN,GOLD,AUTO,Covers,39063,AMERICAN,MEDIUM,CHRYSLER,8734,9232,12877,13611,8930,9514,12002,12658,74135,8700,0,762,0,2010
2814,2009,1,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,Covers,37613,AMERICAN,MEDIUM,CHRYSLER,7373,7809,11392,12066,8340,8702,11272,11762,74135,7100,0,882,0,2010
2815,2009,1,DODGE,AVENGER 4C,SE,4D SEDAN SXT,RED,AUTO,Covers,67436,AMERICAN,MEDIUM,CHRYSLER,9331,9905,13191,13831,10124,11104,13716,14439,74135,8800,0,1020,0,2010
2816,2009,1,CHRYSLER,PT CRUISER,Bas,4D SEDAN,WHITE,AUTO,Covers,38876,AMERICAN,MEDIUM,CHRYSLER,7373,7809,11392,12066,8238,8583,10895,11351,74135,7100,0,882,0,2010
2817,2003,6,CHEVROLET,1500 SILVERADO PICKU,LS,EXT CAB 5.3L LS,WHITE,AUTO,Alloy,72742,AMERICAN,LARGE TRUCK,GM,10725,12597,12083,14105,10725,12597,12083,14105,79932,8700,0,2274,0,2009
